cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,exitStatus
1,1,4.60,0.25,13.56,35%,0,5495,6130,0
2,2,5.33,0.29,14.11,39%,0,5669,6314,0
4,4,4.78,0.26,13.49,37%,0,5662,6393,0
8,8,5.08,0.24,13.43,39%,0,6043,7020,0
16,16,5.06,0.35,18.33,29%,0,6476,7986,0
24,24,5.59,0.39,18.56,32%,0,6961,9006,0
48,48,7.12,0.53,18.33,41%,0,7976,11297,0
96,96,9.82,0.87,18.68,57%,0,9684,15590,0
192,192,12.97,1.53,24.80,58%,0,13255,24560,0
384,384,19.68,2.78,53.56,41%,0,19843,41829,0
