cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,21.87,1.02,12.85,178%,0,316,23512,6,0,368,0,0,0
cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,16.78,1.02,12.86,138%,0,197,23429,6,0,320,0,0,0
4,4,18.22,1.13,12.82,150%,0,289,25165,6,0,320,0,0,0
8,8,21.45,1.05,12.86,174%,0,423,26139,6,0,352,0,0,0
16,16,19.10,1.25,13.07,155%,0,596,28505,6,0,336,0,0,0
32,32,21.30,1.45,13.05,174%,0,1168,35026,6,0,352,0,0,0
64,64,23.49,1.73,13.06,193%,0,1574,36580,6,0,408,0,0,0
128,128,32.27,2.07,18.13,189%,0,2272,46375,6,0,496,0,0,0
256,256,37.78,2.78,23.01,176%,0,4144,66166,6,0,680,0,0,0
512,512,41.24,3.80,38.06,118%,0,4178,69406,6,0,1088,0,0,0
1024,1024,24.11,1.41,3.98,640%,0,4977,37350,0,0,248,0,0,1
