cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,exitStatus
1,1,5.38,0.30,16.46,34%,0,5922,6784,0
2,2,4.32,0.23,13.52,33%,0,5215,5848,0
4,4,4.78,0.23,9.55,52%,0,5368,5803,0
8,8,4.16,0.23,9.34,47%,0,5369,6162,0
16,16,4.95,0.29,13.45,38%,0,5894,6857,0
24,24,4.95,0.29,8.68,60%,0,6192,7261,0
48,48,5.60,0.36,13.33,44%,0,6670,8689,0
96,96,7.96,0.54,13.51,63%,0,7929,11073,0
192,192,10.67,0.84,19.04,60%,0,9654,15061,0
384,384,13.75,1.47,28.90,52%,0,14082,24842,0
