nodes processes tasks
1 host1 tasks1.txt
0 host1 tasks2.txt
1 host1 tasks4.txt
1 host1 tasks8.txt
1 host1 tasks16.txt
0 host1 tasks24.txt
1 host1 tasks32.txt
0 host1 tasks48.txt
1 host1 tasks64.txt
0 host1 tasks96.txt
2 host1 tasks128.txt
0 host1 tasks192.txt
3 host1 tasks256.txt
0 host1 tasks384.txt
6 host1 tasks512.txt
10 host1 tasks1024.txt
0 host1 tasks2048.txt
0 host1 tasks4096.txt
0 host1 tasks8192.txt
1 host2 tasks1.txt
0 host2 tasks2.txt
1 host2 tasks4.txt
1 host2 tasks8.txt
1 host2 tasks16.txt
0 host2 tasks24.txt
1 host2 tasks32.txt
0 host2 tasks48.txt
2 host2 tasks64.txt
0 host2 tasks96.txt
2 host2 tasks128.txt
0 host2 tasks192.txt
3 host2 tasks256.txt
0 host2 tasks384.txt
7 host2 tasks512.txt
12 host2 tasks1024.txt
0 host2 tasks2048.txt
0 host2 tasks4096.txt
