cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,110.42,8.52,75.24,158%,0,2092,152723,0,0,392,0,0,0
2,2,136.24,9.40,81.54,178%,0,3081,170485,0,0,368,0,0,0
4,4,143.60,8.66,84.00,181%,0,2583,174837,0,0,376,0,0,0
8,8,134.19,9.39,104.91,136%,0,3617,186630,0,0,432,0,0,0
16,16,136.76,9.64,106.33,137%,0,5157,199489,0,0,432,0,0,0
32,32,151.49,11.94,131.02,124%,0,7344,246840,0,0,424,0,0,0
64,64,161.63,13.13,220.39,79%,0,11277,295233,0,0,536,0,0,0
128,128,189.10,18.34,380.40,54%,0,19206,405023,0,0,720,0,0,0
256,256,277.08,36.79,856.80,36%,0,51293,682425,0,0,1304,0,0,0
512,512,339.66,54.81,1417.76,27%,0,102915,1087211,0,0,1800,0,0,0
