cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,36.90,3.63,41.77,97%,0,1205,84729,0,0,104,0,0,0
2,2,43.28,4.31,47.04,101%,0,3696,101287,0,0,112,0,0,0
4,4,45.15,4.34,57.25,86%,0,6610,105676,0,0,104,0,0,0
8,8,48.96,5.26,86.71,62%,0,2443,130098,0,0,160,0,0,0
16,16,52.59,5.73,86.22,67%,0,3304,148933,0,0,160,0,0,0
32,32,61.97,7.05,97.56,70%,0,4579,175963,0,0,184,0,0,0
64,64,71.59,9.15,181.64,44%,0,6171,236321,0,0,248,0,0,0
128,128,98.57,16.14,416.63,27%,0,11954,360500,0,0,560,0,0,0
256,256,166.45,26.33,536.91,35%,0,25116,523567,0,0,696,0,0,0
512,512,289.06,53.47,1351.89,25%,0,52123,1025257,0,0,1584,0,0,0
