cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.96,0.99,12.97,161%,0,241,23767,6,0,376,0,0,0
cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.04,1.11,13.09,154%,0,214,24344,6,0,344,0,0,0
4,4,19.79,1.15,12.99,161%,0,228,27021,6,0,376,0,0,0
8,8,20.41,1.33,17.92,121%,0,423,28776,6,0,376,0,0,0
16,16,22.11,1.31,17.83,131%,0,889,31881,6,0,408,0,0,0
32,32,24.81,1.52,17.92,146%,0,1101,35354,6,0,456,0,0,0
64,64,29.21,2.13,18.02,173%,0,1695,44317,6,0,504,0,0,0
128,128,31.63,2.59,22.86,149%,0,2614,52528,6,0,704,0,0,0
256,256,39.44,4.10,37.97,114%,0,3968,72584,6,0,1024,0,0,0
512,512,48.73,6.69,63.05,87%,0,6160,100596,6,0,1728,0,0,0
1024,1024,23.39,1.55,4.09,609%,0,5059,44987,0,0,240,0,0,1
