cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,84.04,7.26,64.97,140%,0,1201,110807,0,0,352,0,0,0
2,2,125.20,8.00,60.62,219%,0,2585,150290,0,0,320,0,0,0
4,4,115.61,8.40,65.72,188%,0,1739,149411,0,0,344,0,0,0
8,8,142.92,7.99,78.69,191%,0,2527,170881,0,0,352,0,0,0
16,16,138.74,9.24,80.86,183%,0,3776,179454,0,0,368,0,0,0
32,32,142.61,8.46,89.80,168%,0,8250,204945,0,0,360,0,0,0
64,64,139.60,10.63,140.07,107%,0,6839,236236,0,0,440,0,0,0
128,128,149.19,13.08,200.72,80%,0,8757,266865,0,0,536,0,0,0
256,256,205.02,21.99,386.15,58%,0,17469,420017,0,0,688,0,0,0
512,512,297.79,37.72,702.46,47%,0,51014,658065,0,0,1104,0,0,0
