cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,42.41,2.66,92.87,48%,0,27592,41681,0,0,0,0,0,0
2,2,43.15,2.73,107.60,42%,0,26967,45866,0,0,0,0,0,0
4,4,45.78,2.85,158.05,30%,0,27790,58803,0,0,0,0,0,0
8,8,46.26,3.12,192.39,25%,0,27799,68483,0,0,0,0,0,0
16,16,51.05,3.41,288.03,18%,0,29247,95217,0,0,0,0,0,0
32,32,55.52,4.01,492.08,12%,0,30347,151625,0,0,0,0,0,0
64,64,60.88,4.58,547.03,11%,0,34495,184983,0,0,0,0,0,0
128,128,68.47,5.65,549.31,13%,0,40802,214519,0,0,0,0,0,0
256,256,74.73,7.67,551.99,14%,0,53586,271006,0,0,0,0,0,0
512,512,85.98,11.13,572.12,16%,0,68506,377088,0,0,0,0,0,0
