cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,17.46,3.43,67.04,31%,0,3137,18439,0,0,0,0,0,1
2,2,17.18,3.29,55.10,37%,0,3155,13093,0,0,0,0,0,0
4,4,17.01,3.37,57.73,35%,0,3102,12606,0,0,0,0,0,1
8,8,17.91,3.99,59.09,37%,0,3577,16594,0,0,0,0,0,0
16,16,22.62,5.41,75.64,37%,0,5098,21382,0,0,0,0,0,0
32,32,21.35,5.53,69.28,38%,0,4907,21154,0,0,0,0,0,0
64,64,23.25,8.24,94.27,33%,0,7117,31680,0,0,0,0,0,1
128,128,35.88,14.08,153.94,32%,0,11270,52588,0,0,0,0,0,1
256,256,44.88,23.66,225.59,30%,0,17190,83685,0,0,0,0,0,0
512,512,71.85,45.94,415.71,28%,0,31411,167901,0,0,0,0,0,0
