cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,15.17,2.68,48.63,36%,0,2766,11775,0,0,0,0,0,0
2,2,15.28,2.79,49.19,36%,0,2741,11937,0,0,0,0,0,0
4,4,16.30,3.04,54.67,35%,0,3207,13102,0,0,0,0,0,0
8,8,16.82,3.21,54.89,36%,0,3323,13644,0,0,0,0,0,0
16,16,18.23,3.76,55.04,39%,0,3929,16257,0,0,0,0,0,0
32,32,19.06,4.72,62.41,38%,0,4351,18446,0,0,0,0,0,0
64,64,22.45,6.92,78.74,37%,0,6193,26550,0,0,0,0,0,0
128,128,27.59,11.03,115.39,33%,0,9366,38791,0,0,0,0,0,1
256,256,42.61,20.52,195.93,32%,0,15522,75476,0,0,0,0,0,0
512,512,67.94,44.16,358.46,31%,0,29207,149323,0,0,0,0,0,0
