cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,42.92,2.62,76.61,59%,0,27034,37249,0,0,0,0,0,0
2,2,43.82,2.56,74.27,62%,0,27178,36872,0,0,0,0,0,0
4,4,43.43,2.55,73.72,62%,0,27593,38510,0,0,0,0,0,0
8,8,43.20,2.54,68.05,67%,0,27793,37290,0,0,0,0,0,0
16,16,43.77,2.71,82.16,56%,0,28017,42102,0,0,0,0,0,0
32,32,54.09,3.62,265.31,21%,0,30698,91428,0,0,0,0,0,0
64,64,60.58,4.16,417.02,15%,0,33073,136555,0,0,0,0,0,0
128,128,61.82,4.77,458.61,14%,0,35720,157440,0,0,0,0,0,0
256,256,63.84,5.34,423.99,16%,0,39466,172212,0,0,0,0,0,0
512,512,68.88,6.97,462.00,16%,0,52474,224424,0,0,0,0,0,0
