cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.08,2.00,50.14,44%,0,15819,25992,0,0,0,0,0,0
2,2,19.91,1.98,49.68,44%,0,15880,26754,0,0,0,0,0,0
4,4,19.78,2.01,44.77,48%,0,16087,26588,0,0,0,0,0,0
8,8,22.40,2.22,74.74,32%,0,16375,34656,0,0,0,0,0,0
16,16,25.26,2.48,99.82,27%,0,17628,45613,0,0,0,0,0,0
32,32,31.36,3.36,225.00,15%,0,19454,83371,0,0,0,0,0,0
64,64,41.10,4.68,459.74,9%,0,23064,158088,0,0,0,0,0,0
128,128,44.58,5.52,500.14,10%,0,27668,190342,0,0,0,0,0,0
256,256,46.69,6.51,459.16,11%,0,33890,221982,0,0,0,0,0,0
512,512,55.64,9.14,411.50,15%,0,45981,294011,0,0,0,0,0,0
