cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,5.67,0.39,10.67,56%,0,7642,8831,0,0,24,0,0,0
2,2,6.23,0.41,15.61,42%,0,7641,9005,0,0,24,0,0,0
4,4,6.02,0.41,10.74,59%,0,7939,9107,0,0,24,0,0,0
8,8,6.13,0.40,10.91,59%,0,8024,9786,0,0,32,0,0,0
16,16,6.49,0.44,10.78,64%,0,8121,9878,0,0,40,0,0,0
32,32,6.80,0.53,11.03,66%,0,8061,10346,0,0,56,0,0,0
64,64,8.40,0.67,15.65,57%,0,9258,12851,0,0,96,0,0,0
128,128,9.58,0.86,20.86,50%,0,9580,15149,0,0,192,0,0,0
256,256,12.69,1.33,20.49,68%,0,12279,21287,0,0,344,0,0,0
512,512,15.61,2.12,26.01,68%,0,15476,31956,0,0,672,0,0,0
