cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.15,0.56,16.07,41%,0,7605,9091,0,0,32,0,0,0
4,4,7.12,0.58,16.44,46%,0,8260,9945,0,0,40,0,0,0
8,8,6.86,0.59,16.16,46%,0,8169,9914,0,0,48,0,0,0
16,16,7.87,0.67,16.35,52%,0,8863,10890,0,0,64,0,0,0
32,32,10.16,0.86,21.89,50%,0,9511,12979,0,0,104,0,0,0
64,64,11.74,1.12,17.60,73%,0,10560,15415,0,0,176,0,0,0
128,128,15.05,1.59,21.89,76%,0,12897,21403,0,0,336,0,0,0
256,256,19.88,2.59,37.13,60%,0,16811,33628,0,0,648,0,0,0
512,512,25.47,4.52,47.34,63%,0,23415,57973,0,0,1248,0,0,0
1024,1024,33.38,7.28,81.34,49%,0,33962,101912,0,0,2536,0,0,0
