cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,2.45,0.25,3.03,89%,0,74,260,0,0,0,0,0,1
2,2,2.41,0.21,2.77,94%,0,73,155,0,0,0,0,0,1
4,4,2.35,0.21,2.72,94%,0,71,155,0,0,0,0,0,1
8,8,2.41,0.22,2.79,94%,0,74,155,0,0,0,0,0,1
16,16,2.41,0.20,2.75,94%,0,76,307,0,0,0,0,0,1
32,32,2.40,0.20,2.75,94%,0,72,155,0,0,0,0,0,1
64,64,2.42,0.20,2.77,94%,0,74,330,0,0,0,0,0,1
128,128,2.39,0.21,2.75,94%,0,74,155,0,0,0,0,0,1
256,256,2.36,0.21,2.73,94%,0,74,157,0,0,0,0,0,1
512,512,2.41,0.21,2.77,94%,0,73,155,0,0,0,0,0,1
