cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.58,0.46,16.17,43%,0,7740,9114,0,0,32,0,0,0
2,2,6.83,0.53,16.09,45%,0,8079,9596,0,0,32,0,0,0
4,4,6.85,0.49,16.07,45%,0,8284,9955,0,0,40,0,0,0
8,8,7.29,0.54,20.97,37%,0,8528,10683,0,0,48,0,0,0
16,16,7.71,0.63,20.98,39%,0,8828,11489,0,0,64,0,0,0
32,32,8.81,0.75,20.85,45%,0,8720,12171,0,0,104,0,0,0
64,64,10.52,1.03,25.94,44%,0,10698,16232,0,0,184,0,0,0
128,128,14.00,1.54,25.83,60%,0,12172,21192,0,0,344,0,0,0
256,256,17.12,2.29,31.36,61%,0,16145,33523,0,0,640,0,0,0
512,512,21.52,3.98,41.50,61%,0,22334,57239,0,0,1256,0,0,0
