cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,40.89,2.61,54.15,80%,0,25422,29255,0,0,0,0,0,1
2,2,40.63,2.59,54.07,79%,0,25336,30562,0,0,0,0,0,1
4,4,42.01,2.79,56.19,79%,0,24231,29931,0,0,0,0,0,1
8,8,41.43,2.64,55.10,79%,0,24827,29136,0,0,0,0,0,1
16,16,40.44,2.51,53.39,80%,0,24068,28498,0,0,0,0,0,1
32,32,41.21,2.49,54.68,79%,0,24469,28696,0,0,0,0,0,1
64,64,41.48,2.59,54.53,80%,0,24993,29149,0,0,0,0,0,1
128,128,41.15,2.57,54.55,80%,0,25710,31820,0,0,0,0,0,1
256,256,42.28,2.63,55.81,80%,0,24673,29114,0,0,0,0,0,1
512,512,41.83,2.57,55.57,79%,0,24250,29257,0,0,0,0,0,1
