cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.65,2.06,56.84,39%,0,14756,26261,0,0,0,0,0,0
2,2,20.45,2.19,51.40,44%,0,15054,25531,0,0,0,0,0,0
4,4,21.37,2.20,51.20,46%,0,15686,26257,0,0,0,0,0,0
8,8,22.07,2.24,51.71,47%,0,16275,28986,0,0,0,0,0,0
16,16,23.21,2.40,57.80,44%,0,17178,33756,0,0,0,0,0,0
32,32,24.41,2.63,60.00,45%,0,17833,40951,0,0,0,0,0,0
64,64,29.68,3.25,110.79,29%,0,18547,65797,0,0,0,0,0,0
128,128,34.80,4.31,125.08,31%,0,22857,96793,0,0,0,0,0,0
256,256,38.34,5.87,105.92,41%,0,30088,126828,0,0,0,0,0,0
512,512,50.75,9.28,135.18,44%,0,41275,208471,0,0,0,0,0,0
