cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,44.95,2.88,92.30,51%,0,26741,40531,0,0,0,0,0,0
2,2,44.02,2.98,89.93,52%,0,27237,41740,0,0,0,0,0,0
4,4,42.80,2.86,87.83,51%,0,27150,41974,0,0,0,0,0,0
8,8,41.59,2.76,89.23,49%,0,28441,44989,0,0,0,0,0,0
16,16,41.93,2.81,84.51,52%,0,29060,47333,0,0,0,0,0,0
32,32,43.17,3.02,84.02,54%,0,29147,52000,0,0,0,0,0,0
64,64,47.04,3.56,93.91,53%,0,32331,66191,0,0,0,0,0,0
128,128,51.67,4.50,98.89,56%,0,37289,92687,0,0,0,0,0,0
256,256,78.39,9.48,999.41,8%,0,57525,386992,0,0,0,0,0,0
512,512,89.83,12.85,1005.58,10%,0,73463,487122,0,0,0,0,0,0
