cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,10.82,2.17,52.49,24%,0,2638,12521,0,0,0,0,0,0
2,2,15.81,4.56,261.17,7%,0,3359,34821,0,0,0,0,0,0
4,4,10.42,1.95,42.74,28%,0,2436,9477,0,0,0,0,0,1
8,8,12.03,2.54,63.06,23%,0,2644,12758,0,0,0,0,0,1
16,16,13.61,2.95,57.99,28%,0,3590,13709,0,0,0,0,0,0
32,32,13.81,3.07,51.16,33%,0,3428,13287,0,0,0,0,0,0
64,64,12.54,3.48,47.49,33%,0,3245,14331,0,0,0,0,0,0
128,128,29.44,7.46,148.97,24%,0,8712,34375,0,0,0,0,0,0
256,256,23.51,8.84,116.23,27%,0,7809,34417,0,0,0,0,0,1
512,512,35.38,15.27,161.43,31%,0,13704,50416,0,0,0,0,0,1
