cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,8.27,0.53,13.42,65%,0,10333,12812,0,0,24,0,0,0
2,2,6.46,0.40,16.04,42%,0,7604,8845,0,0,24,0,0,0
4,4,7.05,0.42,16.14,46%,0,7815,9265,0,0,24,0,0,0
8,8,6.97,0.41,16.16,45%,0,7516,9156,0,0,32,0,0,0
16,16,7.09,0.47,11.52,65%,0,7812,9262,0,0,40,0,0,0
32,32,7.77,0.55,16.18,51%,0,8207,10603,0,0,56,0,0,0
64,64,9.32,0.68,21.07,47%,0,8907,12247,0,0,104,0,0,0
128,128,10.91,0.93,16.43,72%,0,9695,14431,0,0,184,0,0,0
256,256,14.50,1.43,26.09,61%,0,12226,20434,0,0,352,0,0,0
512,512,18.26,2.37,36.40,56%,0,15846,32407,0,0,680,0,0,0
