cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,21.14,2.11,47.62,48%,0,15319,24231,0,0,0,0,0,0
2,2,20.76,2.07,47.01,48%,0,14546,24324,0,0,0,0,0,0
4,4,21.58,2.13,48.14,49%,0,15502,26597,0,0,0,0,0,0
8,8,22.44,2.51,56.04,44%,0,15358,28704,0,0,0,0,0,0
16,16,23.62,2.40,52.77,49%,0,16388,32412,0,0,0,0,0,0
32,32,25.11,2.56,52.35,52%,0,17472,38260,0,0,0,0,0,0
64,64,28.38,3.02,62.40,50%,0,19675,52201,0,0,0,0,0,0
128,128,40.57,4.78,552.63,8%,0,25593,198164,0,0,0,0,0,0
256,256,47.22,6.45,547.80,9%,0,32644,253272,0,0,0,0,0,0
512,512,58.15,9.75,579.33,11%,0,47015,350014,0,0,0,0,0,0
