cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,15.13,2.39,49.84,35%,0,2669,12011,0,0,0,0,0,0
2,2,15.12,2.52,48.07,36%,0,2732,12069,0,0,0,0,0,0
4,4,15.12,2.65,49.73,35%,0,2761,12094,0,0,0,0,0,0
8,8,17.62,2.91,65.49,31%,0,3502,14185,0,0,0,0,0,0
16,16,16.72,3.18,57.70,34%,0,3412,14149,0,0,0,0,0,1
32,32,18.83,3.92,59.24,38%,0,4414,17098,0,0,0,0,0,0
64,64,19.40,5.44,66.30,37%,0,5028,23250,0,0,0,0,0,0
128,128,31.88,9.85,135.26,30%,0,11944,48314,0,0,0,0,0,0
256,256,36.12,14.28,150.98,33%,0,14391,64926,0,0,0,0,0,0
512,512,53.92,31.02,294.25,28%,0,27637,147561,0,0,0,0,0,0
