cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,44.82,2.55,86.28,54%,0,26448,39501,0,0,0,0,0,0
2,2,43.53,2.57,97.90,47%,0,27162,44003,0,0,0,0,0,0
4,4,45.24,2.69,98.45,48%,0,27754,44383,0,0,0,0,0,0
8,8,45.09,2.72,88.44,54%,0,27937,44041,0,0,0,0,0,0
16,16,54.18,3.52,250.60,23%,0,29562,86121,0,0,0,0,0,0
32,32,62.91,4.43,427.20,15%,0,33345,138302,0,0,0,0,0,0
64,64,70.20,5.87,691.11,11%,0,39174,219704,0,0,0,0,0,0
128,128,75.68,6.87,777.73,10%,0,47474,270512,0,0,0,0,0,0
256,256,78.78,8.12,733.78,11%,0,52874,305943,0,0,0,0,0,0
512,512,95.57,12.06,851.27,12%,0,76316,432559,0,0,0,0,0,0
