cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.31,0.41,15.76,42%,0,8223,9516,0,0,32,0,0,0
2,2,6.41,0.41,15.97,42%,0,7829,9391,0,0,32,0,0,0
4,4,6.24,0.44,15.79,42%,0,8178,9953,0,0,40,0,0,0
8,8,6.14,0.42,15.42,42%,0,7866,10023,0,0,48,0,0,0
16,16,6.70,0.46,15.40,46%,0,8278,10484,0,0,64,0,0,0
32,32,7.86,0.61,20.37,41%,0,8935,12203,0,0,104,0,0,0
64,64,10.07,0.87,25.58,42%,0,10163,15528,0,0,184,0,0,0
128,128,12.43,1.29,25.31,54%,0,12300,21470,0,0,336,0,0,0
256,256,15.13,1.94,26.40,64%,0,15114,32869,0,0,640,0,0,0
512,512,19.29,3.48,40.28,56%,0,20803,56073,0,0,1256,0,0,0
