cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,21.15,2.10,52.10,44%,0,14661,25504,0,0,0,0,0,0
2,2,21.92,2.13,52.56,45%,0,15235,26082,0,0,0,0,0,0
4,4,22.04,2.24,52.64,46%,0,15599,26776,0,0,0,0,0,0
8,8,22.91,2.30,52.61,47%,0,15710,28368,0,0,0,0,0,0
16,16,24.14,2.40,52.63,50%,0,16257,31853,0,0,0,0,0,0
32,32,27.18,2.77,117.54,25%,0,16592,53160,0,0,0,0,0,0
64,64,30.59,3.47,242.76,14%,0,20526,98179,0,0,0,0,0,0
128,128,41.16,4.97,550.34,8%,0,24978,207278,0,0,0,0,0,0
256,256,48.63,7.61,563.50,9%,0,36815,282996,0,0,0,0,0,0
512,512,58.65,11.09,573.38,12%,0,55817,381650,0,0,0,0,0,0
