cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,20.52,2.45,73.56,31%,0,14210,29871,0,0,0,0,0,0
2,2,21.45,2.93,190.15,12%,0,14366,55460,0,0,0,0,0,0
4,4,27.05,3.49,555.21,5%,0,16171,143002,0,0,0,0,0,0
8,8,23.44,3.04,200.35,13%,0,14877,63508,0,0,0,0,0,0
16,16,30.13,3.97,690.15,4%,0,15711,175212,0,0,0,0,0,0
32,32,30.54,4.14,655.40,5%,0,16149,169372,0,0,0,0,0,0
64,64,25.96,3.68,145.07,20%,0,17394,65911,0,0,0,0,0,0
128,128,28.63,4.34,165.16,19%,0,18809,80248,0,0,0,0,0,0
256,256,39.40,6.44,171.24,26%,0,24358,105293,0,0,0,0,0,0
512,512,44.65,9.53,181.64,29%,0,35168,144787,0,0,0,0,0,0
