cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,18.29,2.96,50.10,42%,0,2909,11848,0,0,0,0,0,0
2,2,20.37,3.25,55.35,42%,0,3211,12153,0,0,0,0,0,1
4,4,20.68,3.59,57.82,41%,0,3319,12604,0,0,0,0,0,1
8,8,20.62,3.90,58.02,42%,0,3437,12915,0,0,0,0,0,1
16,16,19.92,3.77,54.37,43%,0,3781,13256,0,0,0,0,0,1
32,32,21.39,4.64,68.76,37%,0,4387,17054,0,0,0,0,0,1
64,64,23.12,6.37,76.86,38%,0,5739,20805,0,0,0,0,0,1
128,128,31.45,9.99,108.36,38%,0,9386,36436,0,0,0,0,0,0
256,256,41.50,17.45,165.31,35%,0,15706,64684,0,0,0,0,0,0
512,512,63.15,35.90,306.17,32%,0,29093,141773,0,0,0,0,0,0
