cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,6.71,0.42,16.31,43%,0,7759,9082,0,0,32,0,0,0
2,2,6.70,0.44,15.99,44%,0,8372,9929,0,0,32,0,0,0
4,4,6.70,0.43,15.92,44%,0,8094,9802,0,0,40,0,0,0
8,8,6.73,0.49,16.01,45%,0,7966,9773,0,0,48,0,0,0
16,16,7.65,0.54,16.01,51%,0,8578,10780,0,0,64,0,0,0
32,32,8.58,0.68,20.90,44%,0,9194,12560,0,0,112,0,0,0
64,64,10.04,0.95,20.99,52%,0,10541,15859,0,0,184,0,0,0
128,128,12.77,1.45,21.31,66%,0,12192,21494,0,0,336,0,0,0
256,256,17.93,2.42,26.65,76%,0,16476,32959,0,0,640,0,0,0
512,512,23.90,4.10,41.26,67%,0,22350,55594,0,0,1248,0,0,0
