cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.65,2.01,42.83,50%,0,15660,23821,0,0,0,0,0,0
2,2,19.68,1.89,40.60,53%,0,15987,23842,0,0,0,0,0,0
4,4,19.16,1.88,39.64,53%,0,16404,25119,0,0,0,0,0,0
8,8,19.69,1.99,44.81,48%,0,15550,25983,0,0,0,0,0,0
16,16,20.67,2.12,45.96,49%,0,16198,28127,0,0,0,0,0,0
32,32,26.08,2.71,155.40,18%,0,17736,57649,0,0,0,0,0,0
64,64,36.20,3.96,386.27,10%,0,21257,123339,0,0,0,0,0,0
128,128,39.82,4.55,511.50,8%,0,26039,169787,0,0,0,0,0,0
256,256,43.35,5.32,498.38,9%,0,31429,192081,0,0,0,0,0,0
512,512,50.50,6.93,492.71,11%,0,38675,227222,0,0,0,0,0,0
