cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,exitStatus
1,1,41.14,3.65,134.05,33%,0,1361,109200,0
2,2,38.35,2.98,90.20,45%,0,912,98425,0
4,4,39.00,2.93,89.83,46%,0,1127,100075,0
8,8,41.00,3.27,124.98,35%,0,1281,109325,0
16,16,40.75,3.17,120.05,36%,0,1747,108595,0
24,24,39.11,3.02,95.44,44%,0,1557,99664,0
48,48,40.04,3.14,135.09,31%,0,1151,109848,0
96,96,40.39,3.19,135.09,32%,0,1063,110798,0
192,192,39.38,3.10,119.99,35%,0,1178,106177,0
384,384,39.89,3.01,100.04,42%,0,1210,100448,0
