cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
2,2,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
4,4,0.00,0.00,0.00,78%,0,0,1,0,0,0,0,0,127
8,8,0.00,0.00,0.00,79%,0,0,1,0,0,0,0,0,127
16,16,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
32,32,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
64,64,0.00,0.00,0.00,79%,0,0,1,0,0,0,0,0,127
128,128,0.00,0.00,0.00,79%,0,1,1,0,0,0,0,0,127
256,256,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
512,512,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
1024,1024,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
2048,2048,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
4096,4096,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
8192,8192,0.00,0.00,0.00,80%,0,0,1,0,0,0,0,0,127
9600,9600,0.00,0.00,0.00,79%,0,0,1,0,0,0,0,0,127
cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,19.50,2.11,59.68,36%,0,13438,24504,0,0,0,0,0,0
2,2,19.33,2.18,84.37,25%,0,14313,32094,0,0,0,0,0,0
4,4,20.31,2.16,94.29,23%,0,14762,34494,0,0,0,0,0,0
8,8,22.85,2.51,159.49,15%,0,17031,51585,0,0,0,0,0,0
16,16,21.89,2.94,124.42,19%,0,15922,44358,0,0,0,0,0,0
32,32,21.58,4.29,114.28,22%,0,17221,45872,0,0,0,0,0,0
64,64,26.00,3.51,144.57,20%,0,19951,60957,0,0,0,0,0,0
128,128,25.47,6.05,139.36,22%,0,22414,70154,0,0,0,0,0,0
256,256,31.27,5.87,139.52,26%,0,26343,92841,0,0,0,0,0,0
512,512,37.16,7.49,159.59,27%,0,34635,130991,0,0,0,0,0,0
1024,1024,43.92,14.39,204.71,28%,0,52426,216202,0,0,0,0,0,0
2048,2048,62.05,23.69,219.89,38%,0,79506,381259,0,0,0,0,0,0
4096,4096,3851.79,80.95,4543.65,86%,0,672133,967018,0,0,0,0,0,255
8192,8192,1451.60,58.76,4497.45,33%,0,321003,1209746,0,0,0,0,0,255
9600,9600,1194.49,43.07,1260.43,98%,0,242183,535039,0,0,0,0,0,255
