cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,0.00,0.00,0.01,0%,0,0,12,0,0,0,0,0,127
2,2,0.00,0.00,0.00,81%,0,1,1,0,0,0,0,0,127
4,4,0.00,0.00,0.00,85%,0,0,1,0,0,0,0,0,127
8,8,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
16,16,0.00,0.00,0.00,85%,0,0,1,0,0,0,0,0,127
32,32,0.00,0.00,0.00,85%,0,0,1,0,0,0,0,0,127
64,64,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
128,128,0.00,0.00,0.00,83%,0,0,1,0,0,0,0,0,127
256,256,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
512,512,0.00,0.00,0.00,85%,0,0,1,0,0,0,0,0,127
1024,1024,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
2048,2048,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
4096,4096,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
8192,8192,0.00,0.00,0.00,83%,0,0,1,0,0,0,0,0,127
9600,9600,0.00,0.00,0.00,84%,0,0,1,0,0,0,0,0,127
cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,2.19,1.10,10.39,31%,0,4314,4146,0,0,0,0,0,1
2,2,2.00,0.95,9.12,32%,0,4223,4038,0,0,0,0,0,1
4,4,1.66,0.91,11.44,22%,0,4108,4162,0,0,0,0,0,1
8,8,1.51,0.74,18.76,12%,0,3950,4098,0,0,0,0,0,1
16,16,2.13,1.17,16.01,20%,0,4316,4428,0,0,0,0,0,1
32,32,2.06,1.01,10.23,30%,0,4212,4110,0,0,0,0,0,1
64,64,2.06,1.01,10.11,30%,0,4205,4113,0,0,0,0,0,1
128,128,2.09,0.99,10.14,30%,0,4208,4154,0,0,0,0,0,1
256,256,2.10,1.06,11.27,28%,0,4229,4163,0,0,0,0,0,1
512,512,2.15,1.03,11.22,28%,0,4219,4160,0,0,0,0,0,1
1024,1024,2.11,0.99,10.17,30%,0,4207,4111,0,0,0,0,0,1
2048,2048,2.19,1.06,12.31,26%,0,4306,4227,0,0,0,0,0,1
4096,4096,2.02,1.05,11.25,27%,0,4244,4175,0,0,0,0,0,1
8192,8192,2.15,1.10,12.27,26%,0,4281,4231,0,0,0,0,0,1
9600,9600,2.15,0.97,10.15,30%,0,4247,4146,0,0,0,0,0,1
cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,faults,inputs,outputs,socketsIn,socketsOut,exitStatus
1,1,
