cores,tasks,user,system,elapsed,cpu,avMemory,involuntaryContextSwitch,voluntaryContextSwitch,exitStatus
1,1,16.38,1.84,49.60,36%,0,15707,25089,0
2,2,16.76,1.83,48.95,37%,0,16624,26225,0
4,4,17.40,1.82,50.62,37%,0,16621,26374,0
8,8,18.08,1.90,47.16,42%,0,17622,28386,0
16,16,19.18,1.94,45.32,46%,0,17534,30701,0
24,24,20.09,1.95,48.73,45%,0,18726,35014,0
48,48,22.98,2.54,62.87,40%,0,20504,46060,0
96,96,25.18,2.76,61.01,45%,0,24085,60069,0
192,192,29.96,3.73,65.30,51%,0,30021,84316,0
384,384,37.28,5.37,75.90,56%,0,41328,142111,0
